Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Experience,cluster_id
AB de Villiers (Afr/SA),222,213,39,9319,162,53.55,9295,100.25,24,53,7,12,3
V Sehwag (Asia/ICC/INDIA),251,245,9,8273,219,35.05,7929,104.33,15,38,14,14,3
V Kohli (INDIA),188,180,29,8146,183,53.94,8952,90.99,27,43,11,9,3
HM Amla (SA),156,153,10,7186,159,50.25,8069,89.05,25,33,3,9,3
G Kirsten (SA),185,185,19,6798,188,40.95,9436,72.04,13,45,11,10,3
IVA Richards (WI),187,167,24,6721,189,47.0,7451,90.2,11,45,7,16,3
ML Hayden (AUS/ICC),161,155,15,6133,181,43.8,7767,78.96,10,36,9,15,3
SR Watson (AUS),190,169,27,5757,185,40.54,6365,90.44,9,33,12,13,3
MJ Guptill (NZ),146,143,16,5500,237,43.3,6269,87.73,12,32,12,8,3
RG Sharma (INDIA),158,152,24,5435,264,42.46,6427,84.56,11,31,11,10,3
